City,Name,Address,Website,Number,Operating days/hours,Languages,Services Provided,Payments Accepted,Service Area,Requirements,Other
,"CHOA - Cardiology - Lawrenceville","738 Old Norcross Rd., Suite 110, Lawrenceville, GA, 30046 ",https://www.choa.org/,404-256-2593 or 800-542-2233,"Monday	8:30 AM - 5:00 PM
Tuesday	8:30 AM - 5:00 PM
Wednesday	8:30 AM - 5:00 PM
Thursday	8:30 AM - 5:00 PM
Friday		8:30 AM - 5:00 PM","English, Spanish","Providing Advanced, Compassionate Care in 60-plus Pediatric Specialties
","Medicaid, PeachCare, Uninsured/Underinsured, Self Pay",,,
,Choice One Dental of Lawrenceville,"65 Lawrenceville-Suwanee Rd., #7, Lawrenceville, GA, 30044
",https://www.choiceonedentallawrenceville.com/, 678-407-3919,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 12:00 PM
",English,Dental Care,Self Pay,,,
,Chris180-Gwinnett Counseling Center,"760 Longleaf Blvd., Suite A, Lawrenceville, GA, 30046",https://chris180.org/counseling-services/,770-722-0080,"Monday	9:00 AM - 5:00 PM
Tuesday	9:00 AM - 5:00 PM
Wednesday	9:00 AM - 5:00 PM
Thursday	9:00 AM - 5:00 PM
Friday		9:00 AM - 5:00 PM
","English, Spanish 
","Mental Health Counseling - CHRIS 180 offers a wide range of therapies and counseling specialties, ensuring our clients have the resources and support they need, both in-person and virtually at our offices across Metro Atlanta. Individual, family and group counseling is available depending on clinical needs. Our diverse and inclusive staff is trained to serve a range of populations, including families, veterans, and the LGBTQ+ and Hispanic communities.","Medicaid, Sliding Scale Fee ",,,
,"Dental Images of Gwinnett","916 Lawrenceville Hwy, #20, Lawrenceville, GA, 30046",https://dentistinlawrencevillega.com,770-874-4596,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 2:00 PM","English, Spanish",Dental Care,"Uninsured/Underinsured, Self Pay",,,
,Forster Eyecare,"725 Walther Rd. NW, Lawrenceville, GA, 30046",https://www.forstereyecare.com/,770-513-3300,"Monday        7:30 AM - 6:00 PM
Tuesday        7:30 AM - 6:00 PM
Wednesday        7:30 AM - 6:00 PM
Thursday        7:30 AM - 6:00 PM",English,"Vision care, Eye exams",Self Pay,,,
,"Four Corners Primary Care Clinic","175 Gwinnett Dr., Suite 213 (2nd floor), Lawrenceville, GA, 30046
",https://fcpchealth.com/,770-806-2928,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 5:00 PM","English, Spanish, French and Portuguese, Creole, Vietnamese, Hindi, Punjabi, Farsi","Adult Medicine, Pediatrics/Adolescent Care, Family Planning/GYN, Pharmacy, Podiatry (Adult & Pediatric), Health Education & Nutrition Counseling, Medication Assisted Treatment, COVID-19 vax and all other vaccinations at Norcross location only (COVID-19 vax for ages 5 and up), COVID-19 Testing for symptomatic patients (not travel), STD/STI Testing, TB Testing, Nephrology Testing, Quantiferon Testing, Blood pressure tracker (Machines free of cost for patients with hypertension, tracks via connected app), Community Outreach center helps to connect vulnerable populations with other assistance resources. Pediatrician is only available at the Norcross office, which is the main office. Children are still able to receive services at all locations.","Medicaid , Medicare , PeachCare , Sliding Scale Fee
",,"State issued ID/Driver’s license Passport or Consulate ID If you have any type of medical insurance, bring insurance card. If you do not have medical Insurance please bring last three pay stubs or most recent bank statements. If self-employed bring most recent Federal Tax Return.
",
,"Georgia Clinic - Lawrenceville 
","845 Scenic Hwy., Suite 100, Lawrenceville, GA, 30046 ",https://gaclinicpc.com/,770-962-6443,"Monday        9:00 AM - 7:00 PM 
Tuesday        9:00 AM - 7:00 PM 
Wednesday        9:00 AM - 7:00 PM 
Thursday        9:00 AM - 7:00 PM 
Friday                9:00 AM - 7:00 PM 
Saturday        9:00 AM - 3:00 PM 
","English, Spanish, Hindi ","Primary Care, Pharmacy, Cardiac Imaging & Testing, Diagnostic Testing / Radiology, Laboratory Testing, Podiatry, Nephrology, Pain Management "," Medicaid, Medicare, Sliding Scale Fee",,"Photo ID, Medications Lists, and Proof of Insurance for Medicaid/Medicare ",
,"Georgia Eye Associates","771 Old Norcross Rd., #150, Lawrenceville, GA, 30046",https://www.georgiaeyeassociates.com/locations/lawrenceville/?y_source=1_MTA3Njk4NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,770-995-5408,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 5:00 PM
",English,"Vision care, Eye exams","Medicaid, Medicare, Self Pay
",,,
,"Georgia Family Care - Lawrenceville","3560 Sugarloaf Pkwy., Suite 100, Lawrenceville, GA, 30044
",https://gafamilycare.com/locations/lawrenceville-office/,678-578-4983,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 5:00 PM",English ,"Family Care, Men’s Health, Women’s Health, Pediatric Health, Geriatric Care","Medicaid, Medicare, PeachCare, Self Pay",,,
,Great Expressions Dental Centers - Lawrenceville,"555 Old Norcross Rd., #120, Lawrenceville, GA, 30046",https://www.greatexpressions.com/dental-offices/dentist-in-lawrenceville-georgia-old-norcross-rd/,770-637-5899,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	7:00 AM - 4:00 PM
Friday		7:00 AM - 1:00 PM
","English, Spanish","Dental Care (Adult & Pediatric)","Uninsured/Underinsured , Self Pay",,,
,"Gwinnett Center Medical Associates (Christopher Crooker, MD) ","748 Old Norcross Rd., Suite 185, Lawrenceville, GA, 30046 ",https://www.drcrooker.com/,770-277-8554,"Monday        7:30 AM - 4:30 PM 
Tuesday        7:30 AM - 4:30 PM 
Wednesday        7:30 AM - 4:30 PM 
Thursday        7:30 AM - 4:30 PM 
Friday                7:30 AM - 1:30 PM 
",English,"Annual Examinations, Wellness Plans, Adult Immunizations, Women's Health, Weight Management, Medication Management, Diabetes Education, Hypertension, Geriatrics, Arthritis Care ","Medicare, Self Pay ",,,
,Gwinnett County Health Department ,"455 Grayson Hwy., Suite 300, Lawrenceville, GA, 30046 
",https://www.gnrhealth.com/locations/gwinnett/lawrenceville-health-center/,770-339-4283,"Monday        8:00 AM - 5:00 PM 
Tuesday        8:00 AM - 5:00 PM 
Wednesday        8:00 AM - 5:00 PM 
Thursday        8:00 AM - 5:00 PM ","English, Spanish","Child Immunizations, Women, Infants, and Children (WIC), Dental Care, Children Health Check Exams, Children 1st, School Screenings, Teen Services, Family Planning, DNA/Lab Tests, Pregnancy and Prenatal Related Services, Mammograms/Services for Women over 40, Cancer Screenings, Travel & Adult Immunizations, STD Testing, Treatment and Follow-up, TB Testing and Treatment, Disease Testing and Counseling, Environmental Health Services, Refugee Health, PrEP for HIV Prevention","Medicaid, Medicare, PeachCare, Sliding Scale Fee, Self Pay ",,All health services at this location now require an appointment.,
,"Gwinnett Family Dental Care","3455 Lawrenceville Hwy, Lawrenceville, GA, 30044
",https://www.gwinnettfamilydentalcare.com/,770-921-1115,"Monday	9:00 AM - 5:00 PM
Tuesday	9:00 AM - 5:00 PM
Wednesday	9:00 AM - 5:00 PM
Thursday	9:00 AM - 5:00 PM
Friday		9:00 AM - 4:00 PM
Saturday	9:00 AM - 4:00 PM","English, Spanish, Dutch, Romanian, Creole, Yoruba, Ibo, Kono, Hindi, Gujarati, Russian, Turkish, Persian, Hebrew
","General Dentistry, Oral Surgery, Cosmetic Procedures
",Self Pay,,,
,"Gwinnett Gynecology & Obstetrics 
","500 Medical Center Blvd., #300, Lawrenceville, GA, 30046",N/A,770-963-1340,"Monday        8:30 AM - 5:00 PM 
Tuesday        8:30 AM - 5:00 PM 
Wednesday        8:30 AM - 5:00 PM 
Thursday        8:30 AM - 5:00 PM 
Friday                8:30 AM - 5:00 PM","English and Spanish 
","OBGYN, GYN Surgery, No baby delivery ","Medicaid, Self Pay",,Photo ID and Proof of Insurance ,
,Gwinnett Surgical Specialists,"631 Professional Dr., Suite 300, Lawrenceville, GA, 30046
",https://gwinnettsurgicalspecialists.com/,770-962-9977,"Monday	7:00 AM - 3:30 PM
Tuesday	7:00 AM - 3:30 PM
Wednesday	7:00 AM - 3:30 PM
Thursday	7:00 AM - 3:30 PM
Friday		7:00 AM - 11:00 AM","English, Interpreter Tablet
","Breast Cancer surgery & reconstruction, General surgery procedures
","Medicaid, Medicare",,"Apply for financial assistance (suggested) 1st before appointment. Mammograms not done at northside. reports and disks bring in. Masks required.",
,"Haywood Eye & Vision Care","757 Old Norcross Rd., Lawrenceville, GA, 30046",https://www.haywoodeye.com/,678-442-1161,"Monday	7:00 AM - 5:30 PM
Tuesday	7:00 AM - 5:30 PM
Wednesday	7:00 AM - 5:30 PM
Thursday	7:00 AM - 4:00 PM
",English,"Vision Care, Eye Exams","Uninsured/Underinsured, Self Pay",,,
,"KL Medical Clinic
","905 Parkside Walk Ln., Suite 100A, Lawrenceville, GA, 30043",https://klmedicalclinic.com/,678-442-9486,"Monday        10:00 AM - 3:00 PM
Tuesday        10:00 AM - 3:00 PM
Wednesday   10:00 AM - 3:00 PM
Thursday        10:00 AM - 3:00 PM
Friday            10:00 AM - 3:00 PM
Saturday        10:00 AM - 12:00 PM - by appointment only
",English,"Urgent Care & Primary Care. We take care of non-emergency injuries, physical and immigration medical exams, and general health care.
","Medicaid, Medicare, Self Pay, Uninsured/Underinsured
",,,
,"Lawrenceville Dental Associates
","171 Gwinnett Dr, #C, Lawrenceville, GA, 30046",https://lawrencevilledentalassociates.com,770-913-6808,"Monday	9:00 AM - 6:00 PM
Tuesday	9:00 AM - 6:00 PM
Wednesday	7:00 AM - 4:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 2:00 PM
",English,Dental Care,Self Pay,,,
,"Lawrenceville Family Dental Care
","2087 Cruse Rd. NW, Suite A, Lawrenceville, GA, 30044",https://www.lawrencevilledental.com/,770-962-1977,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 1:00 PM",English,"General Dentistry, Cosmetic Dentistry, Children’s Dentistry
"," Uninsured/Underinsured, Self Pay",,,
,"Lawrenceville Family Eyecare
","575 Professional Dr, Lawrenceville, GA, 30046",https://drkazemeyecare.net/,678-993-2020,"Monday	10:00 AM - 6:00 PM
Tuesday	10:00 AM - 6:00 PM
Wednesday	10:00 AM - 6:00 PM
Friday		8:00 AM - 4:00 PM
Saturday	9:00 AM - 1:00 PM
","English, Spanish, Farsi 
","Vision care, Eye exams
","Self Pay, Medicare",,,
,"LifeStance Health - Lawrenceville
","1838 Old Norcross Rd., Suite 400, Lawrenceville, GA, 30044",https://rhcounselingservices.com/,678-213-2194,"Monday	8:30 AM - 7:00 PM
Tuesday	8:30 AM - 7:00 PM
Wednesday	8:30 AM - 7:00 PM
Thursday	8:30 AM - 7:00 PM
Friday		8:30 AM - 7:00 PM","English, Spanish","Mental Health Counseling, Individual Therapy, Marriage/Couples Therapy, Family Therapy, Child/Teen Therapy, Online Therapy
","Medicaid, Medicare, Self Pay
",,,
,"Mason Pediatrics","665 Duluth Hwy., Suite 920, Lawrenceville, GA, 30046",https://www.northside.com/mason,678-312-5250,"Monday	8:00 AM - 4:00 PM
Tuesday	8:00 AM - 4:00 PM
Wednesday	8:00 AM - 4:00 PM
Thursday	8:00 AM - 4:00 PM
Friday		8:00 AM - 4:00 PM
","English, Spanish","Pediatric Care from birth to 16 yrs. Annual wellness check-ups Newborn examinations and physicals Sick visits on Monday, Wednesday and Friday afternoons Vaccines, as recommended by the Centers for Disease Control and Prevention
","PeachCare, Self Pay",,,
,"Maternal-Fetal Specialists
","500 Medical Center Blvd., #210, Lawrenceville, GA, 30046",https://www.mednax.com/practice/maternalfetalspecialists/,770-822-3344,"Monday   8:00AM-12:00PM & 1:30-4:00PM
Tuesday   8:00AM-12:00PM & 1:30-4:00PM
Thursday   8:00AM-12:00PM & 1:30-4:00PM
Friday       8:00 AM - 3:00 PM","English, Spanish, Language Line
","Services: Advanced Maternal Age, Complicated Pregnancy, Diabetes Management in Pregnancy, Genetic Counseling, Heart Disease, High Risk Obstetric Care and Consults, High-Risk Pregnancy, Hypertension, In Vitro Fertilization, Inpatient Consultation and Care, Kidney Disease, Management of Multiple Gestations (twins or more), Morbidly Obese Patients, Pre-Conception Counseling, Prematurity Testing","Medicaid, Medicare, Self Pay
",,"Proof of insurance and ID, Pre-registration paperwork sent once appointment is scheduled which requests any other required docs",
,"Medlink Georgia Community Health Center ","980 Lawrenceville Hwy., Lawrenceville, GA, 30046",https://medlinkga.org/location/lawrenceville/,770-676-6500,"Monday	8:30 AM - 6:30 PM 
Tuesday	8:30 AM - 6:30 PM 
Wednesday	8:30 AM - 6:30 PM 
Thursday	8:30 AM - 6:30 PM 
Friday		8:30 AM - 5:00 PM ","English, Spanish","Medical Services - Income based - Family Health Services, Educational Services, Family Planning & Birth Control, Behavioral Health, Medication Assisted Recovery, Occupational Health, Sexual Health, Well Child Checks, Pharmacy Delivery to Office. "," Medicaid, Sliding Scale Fee
",,,
,"Milan Eye Center","1250 Scenic Hwy. N., Suite 1700, Lawrenceville, GA, 30045",https://www.milaneyecenter.com/location/snellville/,678-853-7715,"Monday	8:00 AM - 5:30 PM
Tuesday	8:00 AM - 5:30 PM
Wednesday	8:00 AM - 5:30 PM
Thursday	8:00 AM - 5:30 PM
Friday		8:00 AM - 5:30 PM","English, Spanish","Vision care, Eye exams","Medicaid, Medicare, Self Pay",,,
,"MyEyeDr.","875 Lawrenceville-Suwanee Rd., Suite 560, Lawrenceville, GA, 30043",N/A,770-963-0370,"Monday	9:00 AM - 6:00 PM
Tuesday	10:00 AM - 7:00 PM
Wednesday	9:00 AM - 6:00 PM
Thursday	10:00 AM - 7:00 PM
Friday		9:00 AM - 6:00 PM
Saturday	9:00 AM - 4:00 PM
",English,"Vision care, Eye exams
","Medicaid, Medicare, Uninsured/Underinsured, Self Pay",,,
,"Navigate Recovery - Safe Harbor
","52 Gwinnett Dr., Suite A, Lawrenceville, GA, 30046",https://www.navigaterecoverygwinnett.org/recovery-resource-center/,678-743-1808,"Monday	9:00 AM - 6:00 PM
Tuesday	9:00 AM - 6:00 PM
Wednesday	9:00 AM - 6:00 PM
Thursday	9:00 AM - 6:00 PM
Friday		9:00 AM - 6:00 PM
","English, Spanish","Offer support meetings and coaching sessions. Provides recourse options for treatment, detox, recovery housing, recovery centers, continued recovery coaching and meeting sites.","Sliding Scale Fee","Gwinnett County Residents Only
","Free services. Court-appointed clients bring court documents.",
,North Metro Women's Healthcare ,"601 Professional Dr., #290A, Lawrenceville, GA, 30046",N/A,770-338-8331,"Monday	8:30 AM - 5:00 PM 
Tuesday	8:30 AM - 5:00 PM 
Wednesday	8:30 AM - 5:00 PM 
Thursday	8:30 AM - 5:00 PM 
Friday		8:30 AM - 12:00 PM 
",English,"Obstetrics & Gynecology, Family Medicine ","Medicaid 
",,,
,"Northside Gwinnett OB/GYN - Lawrenceville 
","1942 Atkinson Rd. NW., Suite 100, Lawrenceville, GA, 30043",https://northsidegwinnettobgyn.com/,678-775-0600,"Monday	8:00 AM - 5:00 PM 
Tuesday	8:00 AM - 5:00 PM 
Wednesday	8:00 AM - 5:00 PM 
Thursday	8:00 AM - 12:00 PM 
Friday		8:00 AM - 5:00 PM ","English, Spanish","Obstetrics: Midwifery care, Health maintenance during pregnancy, High risk pregnancy care, Routine prenatal care. Gynecological Services: Family Planning, Infertility, Operative Gynecology, Pelvic Pain, Endometriosis, Pre and post menopause, Routine/Well woman Care, Uterine Fibroids, Utero-vaginal Prolapse 
","Medicaid, Self Pay ",,,
,"Northside Hospital Gwinnett","1000 Medical Center Blvd., Lawrenceville, GA, 30045",https://www.northside.com/locations/northside-hospital-gwinnett,678-312-1000,"Monday	24 Hours
Tuesday	24 Hours
Wednesday	24 Hours
Thursday	24 Hours
Friday		24 Hours
Saturday	24 Hours
Sunday	24 Hours
","English, Spanish","Comprehensive inpatient and outpatient services as well as 24-hour emergency and trauma care, cardiac, maternity and cancer services.",Sliding Scale Fee,,,Parking Rates - First 30 Minutes: Free; 31 Minutes & Over: $3 / Day; Day Pass: $6 / 24 hours; Lost Ticket: $10
,"Now Eye See Family Eye Care
","3153 Sugarloaf Pkwy. #201, Lawrenceville, GA, 30045",https://www.now-eye-see.com/,770-682-6525,"Monday        10:00 AM - 7:00 PM
Tuesday        10:00 AM - 7:00 PM
Wednesday        9:00 AM - 6:00 PM
Thursday        9:00 AM - 6:00 PM
Friday                7:30 AM - 4:30 PM
Saturday	9:00 AM - 1:00 PM
",English,"Vision care, Eye exams",Self pay,,,
,"Obria Medical Clinic - Lawrenceville","565 Old Norcross Rd., Suite 200, Lawrenceville, GA, 30046",https://obria.org/lawrenceville/clinic/lawrenceville-ga/,770-338-1680,"Monday	9:00 AM - 5:00 PM
Tuesday	12:00 PM - 8:00 PM
Wednesday	10:00 AM - 8:00 PM
Thursday	9:00 AM - 5:00 PM
","All languages are served. Some members of the staff speak different languages, including Spanish, French, and Creole, and English. Language line is used for all other languages.","Breast & cervical cancer screening; free HIV/Aids testing & referral; teen pregnancy coaching & information about Georgia’s reproductive law; Men’s Health support services (free STD & STI testing); Optimal Health Coaching; pregnancy tests; reproductive loss advice & guidance; STD/STI testing and treatment; prenatal care; ultrasounds; well-woman care; abortion pill reversal; adoptive services referrals and guidance; Obria can write orders for mammograms at Northside Hospital Gwinnett. Patients earn points and can spend them at Obria’s Baby Store, which carries basic baby care items, along with some big items.","Medicaid, Uninsured/Underinsured, Self Pay",,"Proof of Medicaid insurance; Photo ID",
,"Optima Dental
","1790 Atkinson Rd. NW, Building 4, Suite B, Lawrenceville, GA, 30043",https://www.optimafamilydentist.com,770-962-4322,"Monday	8:00 AM - 3:00 PM
Tuesday	8:00 AM - 3:00 PM
Wednesday	8:00 AM - 3:00 PM
Thursday	8:00 AM - 3:00 PM
",English,"Dental Care (Adult & Pediatric)
",Self Pay,,,
,"Peach Smiles
","4825 Sugarloaf Pkwy, A, Lawrenceville, GA, 30044",https://www.peachsmiles.com/contact/,770-637-1041,"Monday	9:00 AM - 5:00 PM
Tuesday	9:00 AM - 5:00 PM
Wednesday	9:00 AM - 5:00 PM
Thursday	9:00 AM - 5:00 PM
Friday		9:00 AM - 5:00 PM
",English," Dental Care (Adult & Pediatric)
","Uninsured/Underinsured, Self Pay",,,
,"Peachtree Immediate Care - Lawrenceville
","696 Grayson Hwy., Lawrenceville, GA, 30046",https://www.peachtreemed.com/,770-963-0927,"Monday	8:00 AM - 8:00 PM
Tuesday	8:00 AM - 8:00 PM
Wednesday	8:00 AM - 8:00 PM
Thursday	8:00 AM - 8:00 PM
Friday		8:00 AM - 8:00 PM
Saturday	8:00 AM - 8:00 PM
Sunday	8:00 AM - 8:00 PM
","English, Spanish
","Covid-19 Testing, Urgent Care, Family Care, Minor Illness & Injury, COVID-19 PCR Testing, COVID-19 Rapid Antigen Testing, Sports Physicals, X-rays, On-Site Labs, Occupational Medicine, *For patients under 2 years old, please call clinic.
","Medicare, PeachCare, Self Pay",,,
,"Piedmont Urgent Care - WellStreet 
","3330 Sugarloaf Pkwy., Lawrenceville, GA, 30044",https://www.wellstreet.com/ ,678-710-2727,"Monday	8:00 AM - 8:00 PM 
Tuesday	8:00 AM - 8:00 PM 
Wednesday	8:00 AM - 8:00 PM 
Thursday	8:00 AM - 8:00 PM 
Friday		8:00 AM - 8:00 PM 
Saturday	9:00 AM - 6:00 PM 
Sunday	9:00 AM - 6:00 PM 
","English, Spanish
",Urgent Care,"Medicaid, Medicare, Uninsured/Underinsured, Self Pay 
",,,
,"Planned Parenthood - Gwinnett Health Center
","798 Lawrenceville-Suwanee Rd., Suite 300, Lawrenceville, GA, 30043",https://www.plannedparenthood.org/planned-parenthood-southeast,404-688-9300,"Tuesday	10:00 AM - 6:00 PM
Wednesday	8:30 AM - 4:30 PM
Thursday	10:00 AM - 6:00 PM
Friday		8:30 AM - 4:30 PM
Saturday	8:30 AM - 4:30 PM
","English, Spanish
","Abortion services/referrals, Birth control/emergency contraception, General healthcare, HIV Services, STD Testing/Treatment, Men/Women's services, Transgender hormone therapy, Pregnancy testing & services
","Uninsured/Underinsured, Self Pay",,"ID and proof of insurance
",
,"Preventive Health Clinic
","455 Grayson Hwy., Suite 400, Lawrenceville, GA, 30046",https://www.gnrhealth.com/locations/gwinnett/preventive-health-dept/,"770-339-4283
","Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
","English, Spanish, Vietnamese
","Child Immunizations, Women, Infants, and Children (WIC), Dental Care, Children Health Check Exams, Children 1st, School Screenings, Teen Services, Family Planning, DNA/Lab Tests, Pregnancy and Prenatal Related Services, Mammograms/Services for Women over 40, Cancer Screenings, Travel Immunizations, Adult Immunizations, STD Testing, Treatment and Follow-up, TB Testing and Treatment, Disease Testing and Counseling, Environmental Health Services, Refugee Health, PrEP for HIV Prevention",Medicaid,,,
,"Quality Eyecare
","5900 Sugarloaf Pkwy., Suite#125, Lawrenceville, GA, 30043",https://www.gaqualityeyecare.com/,678-847-5331,"Monday	11:00 AM - 6:30 PM
Tuesday	11:00 AM - 6:30 PM
Wednesday	11:00 AM - 6:30 PM
Thursday	11:00 AM - 6:30 PM
Friday		11:00 AM - 6:30 PM
Saturday	11:00 AM - 6:30 PM",English,"Vision care, Eye exams
",Self Pay,,,
